freq,items
0.4,13;2;50;?;?
0.4,13;2;2;?;?
0.43,13;13;23;?;?
0.4,28;92;21;22;?
0.42,13;13;92;21;22
0.41,13;60;108;?;?
0.42,29;60;23;22;?
0.4,28;60;108;?;?
0.46,60;22;108;?;?
0.54,29;21;108;?;?
0.41,13;13;92;23;?
0.42,13;92;23;?;?
0.4,13;13;23;108;?
0.4,28;92;23;?;?
0.54,29;23;108;?;?
0.43,13;13;92;60;?
0.48,29;50;21;?;?
0.61,29;2;2;?;?
0.41,29;21;23;?;?
0.42,28;92;22;?;?
0.56,13;13;92;21;?
0.48,2;50;21;?;?
0.42,29;23;22;108;?
0.42,23;22;108;?;?
0.42,28;21;108;?;?
0.44,13;21;22;?;?
0.46,29;28;92;21;?
0.47,29;23;22;?;?
0.44,13;13;22;?;?
0.52,29;2;21;?;?
0.58,13;13;21;?;?
0.41,13;13;21;108;?
0.54,28;92;21;?;?
0.48,29;60;23;108;?
0.5,29;22;108;?;?
0.42,92;21;22;?;?
0.49,29;21;22;108;?
0.48,60;23;108;?;?
0.57,29;21;22;?;?
0.49,21;22;108;?;?
0.54,29;28;92;?;?
0.5,29;28;21;?;?
0.45,29;60;22;108;?
0.43,13;92;60;?;?
0.43,29;60;21;22;?
0.61,29;2;50;?;?
0.5,29;60;23;?;?
0.44,28;21;22;?;?
0.5,29;60;21;?;?
0.68,13;13;92;?;?
0.48,2;2;21;?;?
0.42,13;23;108;?;?
0.42,13;21;108;?;?
0.47,13;28;92;?;?
0.56,13;92;21;?;?
0.43,60;21;22;?;?
0.41,13;13;108;?;?
0.48,29;2;2;21;?
0.42,13;92;21;22;?
0.42,60;23;22;?;?
0.43,13;13;21;22;?
0.43,13;92;22;?;?
0.44,13;13;60;?;?
0.43,13;13;92;22;?
0.43,60;21;108;?;?
0.42,28;92;60;?;?
0.52,29;60;108;?;?
0.43,29;60;21;108;?
0.42,13;28;21;?;?
0.5,29;60;22;?;?
0.41,28;23;108;?;?
0.44,13;13;28;?;?
0.48,29;2;50;21;?
0.49,29;92;21;?;?
