freq,items
0.43,182;29;36;?
0.42,182;29;20;?
0.41,1;21;116;?
0.52,29;1;21;?
0.41,29;25;21;?
0.42,29;8;116;?
0.42,29;25;8;?
0.48,29;20;36;?
0.44,29;17;1;?
0.46,29;25;17;?
0.43,182;29;1;21
0.44,182;29;25;63
0.46,182;29;21;?
0.58,182;29;25;?
0.45,182;1;21;?
0.41,29;17;8;?
0.47,182;20;36;?
0.41,182;29;34;?
0.44,29;63;1;?
0.41,1;8;116;?
0.57,182;29;17;?
0.4,29;1;116;?
0.74,182;29;1;?
0.44,182;1;8;?
0.55,182;29;63;?
0.42,182;29;1;8
0.43,182;34;1;?
0.41,29;63;8;?
0.53,29;25;63;?
0.45,182;29;8;?
0.42,29;21;116;?
0.51,29;1;8;?
0.45,29;25;1;?
0.45,182;25;63;?
