freq,items
0.42,25;63;108;?;?
0.41,29;63;21;22;108
0.44,63;60;108;?;?
0.45,29;25;23;108;?
0.55,29;60;22;108;?
0.45,29;25;22;108;?
0.42,29;21;22;108;24
0.52,60;21;108;?;?
0.41,63;21;22;108;?
0.51,29;60;24;?;?
0.45,29;17;21;22;?
0.42,29;60;21;22;108
0.5,29;25;63;?;?
0.48,29;17;22;?;?
0.53,22;108;1;?;?
0.72,29;21;22;108;?
0.48,29;25;21;108;?
0.57,29;21;108;1;?
0.41,21;23;108;1;?
0.44,29;17;23;108;?
0.8,29;21;22;?;?
0.42,29;60;22;1;?
0.45,63;22;108;?;?
0.42,60;21;22;108;?
0.42,29;60;23;1;?
0.48,29;60;21;22;?
0.58,21;23;108;?;?
0.5,29;21;108;24;?
0.49,21;22;108;1;?
0.48,29;63;21;108;?
0.5,29;17;60;?;?
0.55,60;22;108;?;?
0.48,25;21;108;?;?
0.49,60;108;1;?;?
0.5,29;22;24;?;?
0.65,29;60;22;?;?
0.45,29;21;23;1;?
0.42,25;63;22;?;?
0.41,29;25;63;108;?
0.51,29;63;21;?;?
0.42,29;17;1;?;?
0.49,29;25;22;?;?
0.43,29;25;1;?;?
0.45,21;23;1;?;?
0.43,60;108;24;?;?
0.46,29;25;21;22;?
0.5,29;23;24;?;?
0.47,29;23;108;24;?
0.41,25;63;21;108;?
0.45,63;21;22;?;?
0.42,29;25;63;23;?
0.43,17;60;108;?;?
0.5,29;63;60;?;?
0.45,29;63;23;108;?
0.45,29;63;22;108;?
0.53,29;21;22;1;?
0.45,29;1;24;?;?
0.47,17;21;108;?;?
0.43,29;60;108;24;?
0.41,29;25;63;21;108
0.45,17;23;108;?;?
0.43,25;63;21;?;?
0.47,21;22;24;?;?
0.44,29;63;60;108;?
0.41,29;25;21;22;108
0.53,29;22;108;1;?
0.43,29;17;60;108;?
0.48,29;21;22;108;1
0.57,21;108;1;?;?
0.45,29;63;21;22;?
0.49,29;25;108;?;?
0.47,29;21;22;24;?
0.45,25;22;108;?;?
0.43,25;63;60;?;?
0.57,29;22;1;?;?
0.47,29;17;21;108;?
0.45,25;23;108;?;?
0.49,29;60;108;1;?
0.45,63;23;108;?;?
0.42,29;63;1;?;?
0.4,17;21;22;108;?
0.81,29;23;108;?;?
0.49,29;63;22;?;?
0.74,29;60;108;?;?
0.72,21;22;108;?;?
0.5,29;25;23;?;?
0.53,23;108;1;?;?
0.5,29;17;21;?;?
0.65,29;21;23;?;?
0.53,29;23;108;1;?
0.45,29;21;60;?;?
0.43,29;25;63;21;?
0.8,29;22;108;?;?
0.44,17;22;108;?;?
0.46,22;108;24;?;?
0.63,29;60;23;?;?
0.51,29;25;60;?;?
0.49,29;17;23;?;?
0.52,29;60;21;108;?
0.48,29;17;108;?;?
0.43,25;63;23;?;?
0.5,21;108;24;?;?
0.57,29;60;1;?;?
0.46,25;21;22;?;?
0.41,25;21;22;108;?
0.57,60;23;108;?;?
0.49,29;63;108;?;?
0.44,29;17;22;108;?
0.43,29;23;22;108;?
0.44,29;25;60;108;?
0.57,29;60;23;108;?
0.51,29;25;21;?;?
0.48,63;21;108;?;?
0.5,29;63;23;?;?
0.45,17;21;22;?;?
0.57,29;108;1;?;?
0.41,29;21;23;108;1
0.58,29;21;23;108;?
0.53,21;22;1;?;?
0.42,60;23;1;?;?
0.42,21;22;108;24;?
0.54,29;60;21;?;?
0.86,29;21;108;?;?
0.46,29;22;108;24;?
0.47,23;108;24;?;?
0.5,29;108;24;?;?
0.43,23;22;108;?;?
0.55,29;23;22;?;?
0.48,60;21;22;?;?
0.42,60;22;1;?;?
0.4,29;17;21;22;108
0.43,29;25;63;60;?
0.41,29;17;63;?;?
0.57,29;23;1;?;?
0.42,29;25;63;22;?
0.58,29;21;1;?;?
0.44,25;60;108;?;?
0.5,29;21;24;?;?
