freq,items
0.4,29;59;57;57;?
0.45,180;57;69;?;?
0.41,29;180;59;1;56
0.42,29;1;57;56;?
0.41,29;180;57;57;?
0.41,180;1;57;?;?
0.46,29;57;56;?;?
0.54,29;59;56;?;?
0.46,180;69;57;?;?
0.44,29;180;1;56;?
0.41,1;69;69;?;?
0.43,29;1;56;69;57
0.44,56;57;69;?;?
0.44,59;56;56;?;?
0.42,29;180;56;56;?
0.42,57;56;69;?;?
0.47,29;56;69;57;?
0.7,29;180;1;?;?
0.43,29;180;57;69;?
0.49,59;56;69;?;?
0.44,29;59;69;57;?
0.41,180;56;57;69;?
0.46,59;1;56;?;?
0.44,180;57;56;?;?
0.51,29;56;57;?;?
0.44,29;57;57;?;?
0.41,29;56;56;69;?
0.4,180;1;56;69;?
0.4,29;180;59;69;57
0.46,1;69;57;?;?
0.41,57;56;57;?;?
0.44,1;57;56;?;?
0.47,56;69;57;?;?
0.5,180;59;56;?;?
0.41,1;56;57;69;?
0.41,59;1;69;?;?
0.44,29;180;59;69;?
0.43,29;56;57;69;?
0.49,29;1;57;?;?
0.69,29;59;1;?;?
0.4,59;57;56;69;?
0.4,29;1;69;69;?
0.43,29;180;56;69;57
0.42,180;57;57;?;?
0.55,29;180;56;?;?
0.43,29;180;59;56;69
0.47,29;180;56;57;?
0.44,180;59;69;?;?
0.42,29;57;56;69;?
0.5,29;180;59;56;?
0.43,1;56;56;?;?
0.4,180;59;69;57;?
0.54,29;1;56;?;?
0.41,56;69;69;?;?
0.43,180;59;56;69;?
0.43,29;56;69;56;?
0.47,29;57;69;?;?
0.42,59;57;57;?;?
0.47,29;1;56;69;?
0.45,59;56;69;57;?
0.41,29;1;69;56;?
0.45,180;56;69;57;?
0.41,180;69;69;?;?
0.49,29;180;57;?;?
0.42,59;69;69;?;?
0.41,29;59;69;56;?
0.42,59;1;57;?;?
0.48,29;69;57;?;?
0.42,29;1;56;56;?
0.43,180;59;56;57;?
0.48,29;1;69;?;?
0.4,29;180;56;57;69
0.45,29;1;69;57;?
0.46,29;56;56;?;?
0.42,1;69;56;?;?
0.48,29;180;69;?;?
0.44,29;180;69;57;?
0.51,29;56;69;?;?
0.4,59;1;56;69;?
0.41,29;180;69;56;?
0.44,1;56;69;57;?
0.49,180;56;69;?;?
0.4,180;57;56;69;?
0.43,29;59;57;69;?
0.81,29;180;59;?;?
0.46,29;59;56;69;?
0.47,29;1;56;57;?
0.44,29;69;69;?;?
0.47,29;180;56;69;?
0.42,29;59;56;69;57
0.42,59;56;57;69;?
0.49,59;56;57;?;?
0.42,29;180;57;56;?
0.41,59;56;69;56;?
0.46,59;69;57;?;?
0.42,29;59;56;56;?
0.42,56;56;69;?;?
0.44,59;57;56;?;?
0.42,29;56;57;56;?
0.41,180;56;69;56;?
0.48,180;56;57;?;?
0.41,29;56;69;69;?
0.47,29;59;69;?;?
0.41,29;1;57;57;?
0.44,180;56;56;?;?
0.41,180;59;1;56;?
0.43,29;180;59;56;57
0.45,180;59;57;?;?
0.43,56;69;56;?;?
0.46,180;1;56;?;?
0.65,180;59;1;?;?
0.45,59;57;69;?;?
0.65,29;180;59;1;?
0.4,29;57;56;57;?
0.46,29;59;56;57;?
0.43,59;69;56;?;?
0.42,56;57;56;?;?
0.48,29;59;57;?;?
0.48,1;56;69;?;?
0.42,29;59;57;56;?
0.43,29;1;57;69;?
0.42,1;57;57;?;?
0.41,180;1;69;?;?
0.41,20;180;59;?;?
0.48,1;56;57;?;?
0.44,1;57;69;?;?
0.45,29;69;56;?;?
0.43,29;59;1;56;?
0.45,29;180;59;57;?
0.43,180;69;56;?;?
