total,winfreq,items
1,1.0,48;1;12;24
1,1.0,48;12;94;?
2,1.0,24;1;52;48
2,1.0,12;181;63;?
1,1.0,1;12;181;?
1,1.0,48;17;28;?
1,1.0,48;41;17;?
6,0.83,48;181;63;?
16,0.81,4;21;23;?
52,0.77,24;48;176;?
14,0.71,160;25;1;?
151,0.7,41;58;25;?
3,0.67,48;12;181;?
3,0.67,57;63;41;?
3,0.67,96;108;182;?
54,0.65,24;48;41;?
30,0.63,96;48;181;?
30,0.63,48;12;63;?
160,0.63,24;27;23;?
53,0.62,57;12;63;?
5,0.6,1;108;81;?
20,0.6,48;58;12;?
32,0.59,48;28;94;?
39,0.56,48;182;63;?
122,0.56,1;14;182;?
2,0.5,24;1;37;48
2,0.5,48;27;63;?
8,0.5,48;25;41;?
8,0.5,48;1;21;182
107,0.46,27;4;23;?
20,0.45,57;182;63;?
5,0.4,28;4;21;?
3,0.33,24;48;27;?
3,0.33,17;58;12;?
3,0.33,88;24;48;?
6,0.33,48;60;94;?
49,0.33,28;21;181;?
3,0.33,88;4;60;?
3,0.33,25;58;181;?
5,0.2,48;1;27;?
44,0.14,1;63;81;?
9,0.11,28;181;63;?
12,0.08,24;25;28;?
12,0.08,22;14;182;?
1,0.0,27;4;21;?
2,0.0,48;57;12;?
1,0.0,48;17;27;?
1,0.0,48;57;41;?
1,0.0,24;48;182;?
3,0.0,12;28;181;?
3,0.0,24;25;12;1
1,0.0,1;27;17;?
1,0.0,24;12;181;?
5,0.0,1;27;25;?
1,0.0,25;181;57;?
1,0.0,48;57;182;?
