total,winfreq,items
1,1.0,8;4;60;?;?
2,1.0,56;60;214;?;?
1,1.0,57;4;21;?;?
1,1.0,57;116;23;?;?
4,1.0,108;59;116;?;?
1,1.0,56;59;23;?;?
1,1.0,56;12;23;?;?
1,1.0,56;178;79;?;?
2,1.0,69;94;23;?;?
1,1.0,56;12;94;?;?
4,1.0,59;60;94;?;?
24,0.88,178;110;23;?;?
7,0.86,8;79;23;?;?
6,0.83,56;59;21;?;?
5,0.8,116;59;60;?;?
9,0.78,4;60;23;?;?
4,0.75,56;180;60;?;?
4,0.75,57;178;79;?;?
16,0.75,4;69;23;?;?
7,0.71,20;27;28;?;?
107,0.7,8;108;180;?;?
81,0.68,8;60;12;?;?
33,0.67,57;21;86;?;?
98,0.67,180;178;116;94;?
3,0.67,25;28;21;?;?
3,0.67,178;60;79;?;?
112,0.67,8;56;22;?;?
123,0.65,57;59;79;?;?
128,0.63,79;180;23;?;?
57,0.63,108;12;69;?;?
8,0.63,8;57;60;?;?
50,0.62,4;60;116;?;?
40,0.6,57;180;23;?;?
12,0.58,178;59;108;?;?
37,0.57,180;116;57;?;?
40,0.55,178;108;214;?;?
13,0.54,178;69;214;?;?
63,0.52,8;56;214;?;?
2,0.5,178;180;23;?;?
4,0.5,56;116;94;?;?
12,0.5,1;4;69;?;?
4,0.5,116;12;69;?;?
2,0.5,59;94;23;?;?
207,0.5,1;27;20;?;?
8,0.5,1;28;20;?;?
6,0.5,116;69;23;?;?
4,0.5,180;116;23;?;?
2,0.5,57;59;12;?;?
2,0.5,8;12;94;?;?
6,0.5,178;79;23;?;?
2,0.5,60;110;23;?;?
2,0.5,57;59;60;?;?
4,0.5,57;12;23;?;?
93,0.46,12;4;21;?;?
11,0.45,1;178;12;4;?
33,0.45,27;59;12;?;?
16,0.44,60;59;12;?;?
9,0.44,1;34;27;?;?
7,0.43,8;178;180;79;?
10,0.4,56;180;86;?;?
18,0.39,88;178;21;?;?
8,0.38,178;180;69;?;?
8,0.38,57;21;214;?;?
11,0.36,60;180;86;?;?
3,0.33,116;214;23;?;?
99,0.33,25;27;21;?;?
3,0.33,12;21;94;?;?
7,0.29,8;60;180;?;?
15,0.27,56;12;79;?;?
4,0.25,178;22;214;?;?
9,0.22,116;59;12;?;?
1,0.0,178;69;94;?;?
1,0.0,60;12;57;?;?
1,0.0,8;4;23;?;?
1,0.0,60;12;86;?;?
1,0.0,56;21;214;?;?
1,0.0,8;4;178;180;1
2,0.0,180;28;22;?;?
1,0.0,1;180;108;?;?
1,0.0,178;60;214;23;?
1,0.0,12;86;23;?;?
1,0.0,8;57;214;?;?
1,0.0,56;59;94;?;?
