total,winfreq,items
4,1.0,28;36;102;?
1,1.0,20;34;28;57
2,1.0,59;20;13;23
1,1.0,34;27;15;?
1,1.0,180;20;215;?
4,0.75,215;180;23;?
4,0.75,27;36;13;?
27,0.7,108;59;36;?
3,0.67,23;20;215;?
6,0.67,34;94;23;?
3,0.67,57;180;20;23
8,0.63,36;4;23;?
5,0.6,180;20;254;?
17,0.59,34;27;215;?
93,0.58,180;36;13;?
102,0.57,60;22;102;?
11,0.55,34;59;86;?
13,0.54,20;27;108;?
34,0.53,57;36;28;?
96,0.53,27;254;23;?
63,0.52,79;20;23;?
8,0.5,12;20;23;?
2,0.5,27;180;254;?
4,0.5,27;180;13;?
2,0.5,34;12;23;?
8,0.5,23;27;180;31
2,0.5,180;36;22;?
2,0.5,27;59;15;?
2,0.5,34;180;13;?
15,0.47,28;13;102;?
51,0.45,57;27;180;?
24,0.42,27;59;77;?
8,0.38,57;27;28;?
8,0.38,59;36;77;?
23,0.35,36;180;31;?
9,0.33,108;27;180;?
3,0.33,180;34;108;?
3,0.33,57;27;20;?
3,0.33,20;180;92;?
3,0.33,92;180;23;?
11,0.27,60;36;102;?
4,0.25,23;36;215;?
12,0.25,20;34;92;?
9,0.22,36;21;102;?
7,0.14,27;36;77;?
1,0.0,34;180;254;?
2,0.0,34;27;92;?
2,0.0,27;215;23;?
2,0.0,20;34;12;?
2,0.0,57;59;36;?
1,0.0,59;21;102;?
1,0.0,36;4;94;?
