total,winfreq,items
2,1.0,56;1;57;214;23
1,1.0,57;28;21;?;?
1,1.0,34;28;21;?;?
4,1.0,48;41;60;?;?
5,1.0,24;57;214;?;?
1,1.0,48;41;20;?;?
1,1.0,57;36;21;?;?
1,1.0,48;12;21;?;?
1,1.0,48;60;12;?;?
2,1.0,48;20;12;?;?
2,1.0,36;13;23;?;?
1,1.0,12;20;13;23;?
13,0.85,48;21;214;?;?
16,0.81,34;108;214;?;?
35,0.71,1;27;9;?;?
24,0.67,48;36;12;?;?
3,0.67,48;60;21;?;?
71,0.65,48;41;34;?;?
54,0.63,20;12;22;?;?
18,0.61,48;41;21;?;?
5,0.6,1;36;13;?;?
30,0.6,48;41;12;?;?
97,0.6,1;69;214;?;?
45,0.6,24;214;102;?;?
2,0.5,41;60;21;?;?
36,0.5,28;21;214;?;?
4,0.5,36;22;102;?;?
2,0.5,56;34;27;?;?
2,0.5,57;34;28;214;?
14,0.5,36;28;21;?;?
2,0.5,69;214;23;?;?
2,0.5,34;13;102;?;?
32,0.47,56;1;34;?;?
31,0.42,41;36;21;?;?
10,0.4,92;12;102;1;?
15,0.4,41;60;214;?;?
3,0.33,56;57;214;102;?
36,0.33,57;28;20;?;?
3,0.33,41;34;214;?;?
3,0.33,12;20;21;60;?
10,0.3,41;12;20;?;?
4,0.25,48;34;60;?;?
4,0.25,1;28;21;102;?
26,0.19,20;28;13;?;?
8,0.13,41;21;214;?;?
3,0.0,1;69;102;?;?
1,0.0,24;57;102;?;?
3,0.0,60;36;214;102;?
