total,winfreq,items
1,1.0,25;27;36;77
3,1.0,19;28;77;?
1,1.0,34;4;63;?
1,1.0,20;69;23;?
2,1.0,57;27;77;?
1,1.0,20;27;108;?
3,1.0,17;34;4;?
1,1.0,25;27;22;?
2,1.0,57;34;60;?
1,1.0,17;19;15;?
4,1.0,25;4;23;?
1,1.0,27;108;15;?
1,1.0,67;20;63;?
1,1.0,17;22;15;?
4,1.0,57;58;27;?
1,1.0,34;77;61;?
2,1.0,57;27;60;?
10,0.9,60;21;102;?
7,0.86,21;102;15;?
7,0.86,108;20;15;?
19,0.84,57;77;21;?
31,0.81,24;58;77;?
5,0.8,58;27;23;?
72,0.78,34;27;108;?
9,0.78,24;17;23;?
37,0.76,57;60;21;?
8,0.75,24;58;23;?
4,0.75,57;27;36;?
33,0.73,17;27;22;?
74,0.72,27;19;28;?
307,0.71,96;25;20;?
7,0.71,25;108;15;?
10,0.7,25;58;27;?
13,0.69,23;20;215;?
73,0.68,58;27;20;?
19,0.68,58;23;15;?
28,0.68,56;57;17;?
3,0.67,27;19;20;?
3,0.67,25;86;94;?
36,0.67,34;27;61;?
3,0.67,27;77;206;?
141,0.67,60;20;102;?
3,0.67,57;34;21;?
478,0.66,17;27;61;?
512,0.65,63;60;15;?
31,0.65,4;94;63;?
42,0.64,17;34;215;?
16,0.63,34;21;102;?
288,0.61,34;27;28;?
227,0.61,56;25;23;?
71,0.61,34;60;63;?
5,0.6,34;4;23;?
5,0.6,25;34;215;?
5,0.6,34;77;22;?
342,0.59,36;77;102;?
141,0.59,34;206;63;?
22,0.59,57;34;102;?
19,0.58,57;27;28;?
35,0.57,34;4;94;?
20,0.55,36;28;17;?
97,0.54,79;20;23;?
34,0.53,57;34;15;?
23,0.52,25;28;102;?
76,0.51,77;102;21;?
6,0.5,15;215;23;?
6,0.5,25;60;102;?
4,0.5,34;28;15;?
4,0.5,57;34;28;?
20,0.5,17;19;23;?
2,0.5,36;61;77;?
4,0.5,56;25;20;?
96,0.5,17;215;15;?
2,0.5,25;34;108;?
2,0.5,20;94;23;?
6,0.5,34;94;23;?
2,0.5,60;27;36;?
6,0.5,17;77;206;?
55,0.49,24;17;15;?
39,0.49,23;19;15;?
29,0.48,20;94;63;?
19,0.47,57;36;21;?
82,0.46,27;28;15;?
22,0.45,25;23;215;?
9,0.44,57;28;15;?
51,0.43,57;102;15;?
19,0.42,57;60;63;?
15,0.4,17;67;20;?
5,0.4,34;77;102;?
8,0.38,19;28;15;?
19,0.37,25;20;41;?
11,0.36,60;36;21;?
33,0.36,152;17;20;?
6,0.33,19;27;23;?
3,0.33,25;94;23;?
3,0.33,25;60;57;?
3,0.33,36;102;15;?
13,0.31,28;36;77;?
12,0.25,27;19;15;?
4,0.25,25;19;28;23
4,0.25,25;77;215;?
5,0.2,57;36;28;?
1,0.0,27;20;206;?
1,0.0,25;60;77;?
1,0.0,24;25;15;?
1,0.0,25;22;15;?
1,0.0,34;15;102;63
1,0.0,57;60;15;?
1,0.0,56;20;63;?
1,0.0,57;23;28;63
1,0.0,24;77;23;?
1,0.0,27;77;61;?
1,0.0,57;28;20;63
1,0.0,34;215;15;?
1,0.0,27;60;77;?
1,0.0,25;36;61;?
2,0.0,57;58;15;?
2,0.0,28;19;20;23
1,0.0,27;21;15;?
1,0.0,27;22;15;?
1,0.0,56;20;23;?
1,0.0,36;77;21;?
