freq,items
0.64,20;29;17;?;?
0.6,20;25;63;?;?
0.41,20;75;27;?;?
0.65,20;14;75;?;?
0.51,20;14;22;?;?
0.45,14;29;25;17;?
0.45,14;88;22;?;?
0.5,20;212;21;?;?
0.45,28;212;22;?;?
0.5,20;75;25;63;?
0.41,12;212;25;?;?
0.44,75;17;22;?;?
0.47,14;63;22;?;?
0.42,14;29;17;21;?
0.43,75;63;22;?;?
0.42,29;88;212;?;?
0.58,29;63;22;?;?
0.45,75;29;17;?;?
0.46,75;25;17;?;?
0.4,14;12;17;?;?
0.49,14;29;25;63;?
0.42,20;12;22;?;?
0.58,29;25;22;?;?
0.44,20;75;12;?;?
0.4,14;75;212;63;?
0.5,29;4;86;?;?
0.56,14;75;63;?;?
0.49,14;75;212;21;?
0.43,20;14;212;21;?
0.56,14;75;25;?;?
0.49,28;88;212;?;?
0.41,14;18;170;?;?
0.41,14;29;63;21;?
0.49,4;86;79;?;?
0.43,14;75;12;?;?
0.41,20;14;25;17;?
0.42,14;75;63;22;?
0.4,20;28;212;22;?
0.44,14;28;22;?;?
0.49,20;14;75;22;?
0.47,14;75;212;17;?
0.4,20;29;18;?;?
0.42,88;212;25;?;?
0.43,20;75;25;22;?
0.48,12;212;21;?;?
0.46,20;27;94;?;?
0.46,20;29;25;22;?
0.43,20;75;29;25;?
0.44,20;22;170;?;?
0.42,20;28;63;?;?
0.46,20;29;63;22;?
0.48,29;4;86;79;?
0.6,14;88;212;?;?
0.4,14;75;29;22;?
0.45,20;4;86;?;?
0.43,12;25;63;?;?
0.47,14;75;28;?;?
0.5,20;212;22;?;?
0.52,25;63;22;?;?
0.42,14;75;25;22;?
0.5,20;75;212;22;?
0.59,29;17;21;?;?
0.51,75;88;212;?;?
0.44,20;94;79;?;?
0.47,14;25;21;?;?
0.56,20;75;29;?;?
0.44,14;75;25;17;?
0.5,29;4;79;?;?
0.41,20;14;75;212;21
0.46,20;75;25;17;?
0.41,20;75;86;?;?
0.43,75;25;21;?;?
0.41,88;25;63;?;?
0.44,29;25;17;22;?
0.49,20;14;88;?;?
0.44,20;17;63;?;?
0.49,14;75;25;63;?
0.49,14;75;88;212;?
0.5,75;212;21;?;?
0.54,20;14;17;?;?
0.48,14;25;22;?;?
0.63,29;25;17;?;?
0.5,14;212;21;?;?
0.43,20;27;94;79;?
0.43,20;4;86;79;?
0.68,20;75;212;?;?
0.4,20;29;86;?;?
0.45,20;86;79;?;?
0.43,20;75;29;63;?
0.42,20;14;212;22;?
0.42,20;75;212;63;?
0.42,14;4;79;?;?
0.42,27;4;79;?;?
0.4,27;94;86;?;?
0.41,14;212;63;?;?
0.43,20;75;25;21;?
0.6,14;75;22;?;?
0.4,20;28;212;21;?
0.41,94;86;79;?;?
0.43,14;29;17;22;?
0.5,20;14;63;?;?
0.56,14;29;63;?;?
0.43,20;14;29;63;?
0.51,14;28;212;?;?
0.49,14;75;212;22;?
0.47,20;29;17;22;?
0.56,14;29;25;?;?
0.58,20;75;25;?;?
0.47,20;28;21;?;?
0.43,28;212;17;?;?
0.42,20;88;25;?;?
0.51,25;63;21;?;?
0.47,29;18;170;?;?
0.49,75;212;17;?;?
0.42,20;212;25;?;?
0.46,29;27;79;?;?
0.51,20;63;22;?;?
0.45,20;29;63;21;?
0.45,20;4;79;?;?
0.52,20;17;22;?;?
0.44,20;25;63;21;?
0.55,20;25;17;?;?
0.55,20;14;29;?;?
0.4,20;75;29;21;?
0.51,20;14;25;?;?
0.51,20;25;21;?;?
0.43,20;27;79;?;?
0.42,14;4;86;?;?
0.42,20;75;18;?;?
0.48,20;14;75;21;?
0.43,14;75;17;22;?
0.41,20;14;75;28;?
0.41,14;12;22;?;?
0.45,14;28;88;?;?
0.42,14;22;170;?;?
0.42,88;212;63;?;?
0.45,75;17;21;?;?
0.49,20;75;28;?;?
0.43,75;29;25;?;?
0.46,20;28;88;?;?
0.52,14;25;17;?;?
0.42,14;29;25;22;?
0.43,14;75;17;21;?
0.49,20;212;17;?;?
0.61,20;75;22;?;?
0.42,20;75;212;25;?
0.4,27;4;86;?;?
0.47,20;14;75;25;?
0.4,25;63;17;?;?
0.58,20;29;22;?;?
0.43,14;88;212;17;?
0.41,20;75;170;?;?
0.44,14;88;17;?;?
0.4,20;29;25;63;22
0.45,14;88;212;22;?
0.41,14;75;18;?;?
0.51,29;25;63;22;?
0.6,14;75;17;?;?
0.59,14;29;17;?;?
0.44,14;75;29;17;?
0.45,25;17;21;?;?
0.42,14;27;94;?;?
0.56,20;14;212;?;?
0.42,14;25;63;22;?
0.42,20;12;21;?;?
0.47,20;14;75;29;?
0.43,20;75;63;21;?
0.42,14;212;25;?;?
0.4,14;75;212;25;?
0.42,20;212;63;?;?
