total,winfreq,items
1,1.0,24;28;15;?;?
1,1.0,57;27;22;?;?
2,1.0,98;34;15;?;?
1,1.0,34;98;23;?;?
1,1.0,8;2;21;23;?
1,1.0,1;28;21;65;?
3,1.0,48;57;2;?;?
1,1.0,25;28;108;1;?
1,1.0,57;19;60;?;?
1,1.0,48;2;22;?;?
2,1.0,108;50;28;58;?
1,1.0,65;2;21;15;?
1,1.0,2;19;77;13;?
3,1.0,24;57;2;28;?
1,1.0,2;59;28;?;?
1,1.0,8;25;2;?;?
3,1.0,8;25;22;?;?
2,1.0,1;2;34;?;?
1,1.0,19;36;23;?;?
1,1.0,57;34;50;21;?
1,1.0,59;28;77;?;?
2,1.0,25;36;57;?;?
1,1.0,8;28;60;?;?
1,1.0,20;2;60;102;?
1,1.0,8;25;28;?;?
2,1.0,58;59;77;?;?
1,1.0,1;100;77;21;?
1,1.0,8;2;22;?;?
1,1.0,57;50;108;65;?
7,0.86,10;13;23;?;?
14,0.79,48;25;2;?;?
60,0.77,50;59;58;?;?
413,0.77,129;15;57;?;?
1084,0.76,48;2;21;?;?
98,0.76,48;1;58;?;?
4,0.75,24;57;77;?;?
4,0.75,2;28;61;?;?
8,0.75,48;50;15;?;?
4,0.75,8;2;28;21;?
4,0.75,50;59;108;?;?
681,0.73,129;2;20;?;?
11,0.73,48;58;20;?;?
10,0.7,28;20;69;?;?
19,0.68,48;1;28;?;?
6,0.67,57;50;61;?;?
3,0.67,57;50;27;?;?
6,0.67,56;28;22;?;?
3,0.67,58;108;2;77;?
48,0.67,129;28;22;?;?
3,0.67,1;100;77;22;?
9,0.67,108;28;13;?;?
3,0.67,48;2;28;?;?
6,0.67,25;58;1;?;?
534,0.65,24;28;21;?;?
182,0.65,67;60;13;?;?
79,0.65,25;50;61;?;?
199,0.64,28;69;22;?;?
36,0.64,8;50;60;?;?
26,0.62,1;58;21;?;?
5,0.6,28;27;60;?;?
15,0.6,34;19;21;?;?
225,0.6,98;36;77;?;?
12,0.58,65;34;2;?;?
173,0.57,65;34;15;?;?
92,0.57,24;77;22;?;?
42,0.57,25;59;23;?;?
425,0.56,8;108;15;?;?
9,0.56,108;2;28;1;?
11,0.55,65;36;23;?;?
388,0.54,19;36;13;?;?
360,0.54,57;50;102;?;?
146,0.54,57;19;77;?;?
28,0.54,8;25;50;?;?
26,0.54,34;13;22;?;?
94,0.53,10;36;2;?;?
578,0.52,60;100;36;?;?
2,0.5,50;19;21;13;?
2,0.5,48;1;77;?;?
2,0.5,28;2;27;20;?
2,0.5,57;27;20;?;?
24,0.5,57;19;22;?;?
2,0.5,58;100;15;?;?
2,0.5,50;61;15;?;?
2,0.5,1;58;15;?;?
6,0.5,25;20;61;?;?
2,0.5,8;22;15;?;?
4,0.5,56;28;23;?;?
2,0.5,50;34;13;?;?
2,0.5,50;28;58;77;?
4,0.5,48;100;22;15;?
2,0.5,1;58;60;?;?
4,0.5,34;28;13;?;?
2,0.5,48;25;60;100;?
73,0.48,10;77;22;?;?
67,0.48,24;2;15;?;?
36,0.47,48;65;100;22;?
48,0.46,8;25;108;?;?
28,0.46,19;13;22;?;?
110,0.45,50;100;34;?;?
157,0.45,108;77;102;?;?
135,0.45,8;2;15;?;?
22,0.45,24;50;58;?;?
9,0.44,8;25;20;?;?
16,0.44,56;20;108;?;?
25,0.44,48;25;58;?;?
9,0.44,65;50;58;?;?
7,0.43,48;65;28;15;?
7,0.43,24;77;23;?;?
143,0.43,48;1;65;?;?
65,0.42,67;20;13;?;?
212,0.42,1;50;100;?;?
24,0.42,27;28;21;?;?
17,0.41,8;21;15;?;?
25,0.4,2;100;58;?;?
5,0.4,24;28;60;?;?
10,0.4,2;67;13;?;?
15,0.4,108;13;77;?;?
22,0.36,24;2;21;?;?
40,0.35,25;50;1;?;?
18,0.33,24;20;22;?;?
3,0.33,50;34;22;77;?
6,0.33,25;36;28;?;?
3,0.33,24;50;60;23;?
3,0.33,57;19;28;23;?
3,0.33,25;28;77;1;?
3,0.33,100;34;108;?;?
16,0.31,27;28;15;?;?
13,0.31,73;2;23;?;?
43,0.3,57;27;28;?;?
7,0.29,1;34;22;?;?
4,0.25,34;13;15;?;?
4,0.25,25;50;77;22;?
4,0.25,1;2;28;77;?
50,0.24,25;50;100;22;?
31,0.19,65;100;108;1;?
6,0.17,28;2;108;65;?
10,0.1,77;102;21;?;?
1,0.0,1;108;100;15;?
1,0.0,25;50;100;21;?
1,0.0,1;2;28;20;23
2,0.0,8;25;21;?;?
1,0.0,60;50;28;13;?
2,0.0,27;60;15;?;?
2,0.0,23;13;77;?;?
1,0.0,25;2;108;15;?
8,0.0,1;57;77;65;?
1,0.0,25;61;57;?;?
2,0.0,27;77;21;?;?
1,0.0,98;108;15;?;?
1,0.0,25;34;1;?;?
7,0.0,65;50;28;15;?
1,0.0,34;100;15;?;?
1,0.0,8;28;23;?;?
1,0.0,98;36;15;?;?
6,0.0,1;50;77;21;?
2,0.0,65;2;100;60;?
1,0.0,34;19;77;?;?
2,0.0,73;19;23;?;?
1,0.0,57;34;19;?;?
1,0.0,24;57;50;23;?
1,0.0,8;20;60;?;?
1,0.0,2;60;10;15;?
1,0.0,24;60;2;20;?
1,0.0,25;2;34;?;?
4,0.0,50;20;22;102;?
