total,winfreq,items
2,1.0,60;20;53;?;?
1,1.0,57;58;36;77;?
2,1.0,57;50;235;36;?
1,1.0,121;50;57;15;?
1,1.0,48;41;61;57;?
3,1.0,2;20;119;?;?
1,1.0,57;58;121;?;?
1,1.0,41;2;235;20;57
1,1.0,180;58;20;?;?
1,1.0,60;100;53;?;?
1,1.0,50;235;100;34;?
1,1.0,2;59;5;?;?
1,1.0,50;119;23;?;?
1,1.0,9;2;235;?;?
1,1.0,59;20;215;?;?
34,0.88,41;178;235;?;?
6,0.83,34;27;235;?;?
11,0.82,119;59;23;?;?
11,0.82,48;27;23;?;?
5,0.8,121;100;36;?;?
94,0.77,48;34;27;?;?
39,0.77,48;41;235;?;?
4,0.75,50;59;119;?;?
8,0.75,41;34;235;23;?
8,0.75,41;235;9;?;?
62,0.74,48;57;178;?;?
150,0.71,50;59;53;?;?
7,0.71,48;121;58;?;?
13,0.69,235;36;15;?;?
97,0.68,129;34;9;?;?
9,0.67,8;20;21;?;?
3,0.67,41;61;119;?;?
3,0.67,121;34;100;?;?
3,0.67,48;235;15;?;?
11,0.64,57;2;53;?;?
64,0.64,41;20;119;?;?
13,0.62,57;59;53;?;?
5,0.6,58;27;180;?;?
25,0.6,121;58;100;?;?
12,0.58,50;27;235;?;?
7,0.57,41;2;100;178;?
7,0.57,8;50;28;?;?
14,0.57,152;129;28;?;?
7,0.57,4;59;28;?;?
73,0.55,121;36;15;?;?
15,0.53,57;50;235;77;?
19,0.53,48;57;15;?;?
2,0.5,48;34;100;?;?
8,0.5,57;21;61;?;?
2,0.5,20;61;215;?;?
2,0.5,48;61;15;?;?
2,0.5,121;2;15;23;?
31,0.48,50;20;53;?;?
65,0.48,129;2;215;?;?
31,0.45,129;20;21;?;?
44,0.45,20;27;180;?;?
5,0.4,9;77;129;?;?
5,0.4,121;34;15;?;?
8,0.38,180;100;61;?;?
23,0.35,180;178;100;?;?
17,0.35,180;100;41;?;?
3,0.33,48;178;15;?;?
9,0.33,27;36;15;?;?
3,0.33,180;58;100;?;?
3,0.33,50;27;215;?;?
9,0.33,27;59;4;?;?
3,0.33,9;34;60;?;?
12,0.33,4;27;28;?;?
97,0.32,57;21;41;?;?
33,0.27,50;28;5;?;?
4,0.25,57;27;235;?;?
4,0.25,41;180;23;?;?
4,0.25,129;23;215;?;?
20,0.25,41;27;100;77;?
4,0.25,48;41;121;?;?
4,0.25,27;61;215;?;?
9,0.22,215;20;23;?;?
5,0.2,57;178;180;?;?
11,0.18,41;36;121;?;?
13,0.15,2;20;215;?;?
8,0.13,41;34;100;77;?
1,0.0,41;27;180;?;?
1,0.0,48;34;61;?;?
1,0.0,58;178;77;?;?
7,0.0,57;178;2;77;?
1,0.0,129;20;215;?;?
1,0.0,41;50;23;121;?
2,0.0,41;50;15;121;?
1,0.0,57;59;21;?;?
2,0.0,41;2;100;61;36
6,0.0,2;59;21;?;?
1,0.0,59;21;23;?;?
1,0.0,50;20;21;?;?
1,0.0,100;50;27;36;?
1,0.0,48;57;27;?;?
1,0.0,9;59;15;?;?
2,0.0,9;36;23;?;?
2,0.0,41;178;36;?;?
1,0.0,41;58;180;?;?
1,0.0,36;50;100;41;60
1,0.0,9;59;36;?;?
1,0.0,8;50;21;?;?
2,0.0,41;58;36;50;?
1,0.0,59;27;28;215;?
1,0.0,57;50;15;58;41
1,0.0,48;34;77;?;?
2,0.0,23;2;235;15;?
1,0.0,2;60;215;?;?
1,0.0,100;36;77;60;?
1,0.0,36;178;100;?;?
1,0.0,121;2;36;?;?
2,0.0,180;27;100;?;?
1,0.0,20;180;60;57;?
1,0.0,57;50;215;?;?
3,0.0,215;28;23;?;?
1,0.0,152;28;60;?;?
1,0.0,9;36;15;?;?
1,0.0,58;178;23;?;?
