total,winfreq,items
1,1.0,152;145;20;?;?
1,1.0,73;162;50;?;?
1,1.0,57;50;11;41;?
1,1.0,56;36;182;?;?
1,1.0,41;13;69;?;?
1,1.0,56;34;51;?;?
4,1.0,51;36;21;?;?
1,1.0,17;34;51;?;?
1,1.0,2;3;28;?;?
1,1.0,1;34;41;?;?
1,1.0,73;50;36;215;?
1,1.0,73;34;141;?;?
1,1.0,56;51;182;?;?
1,1.0,36;13;182;?;?
1,1.0,56;36;149;?;?
1,1.0,41;34;57;?;?
1,1.0,152;73;11;?;?
1,1.0,56;20;182;?;?
1,1.0,17;51;13;?;?
1,1.0,41;20;141;215;?
2,1.0,50;36;13;141;?
7,0.86,1;50;141;?;?
11,0.82,145;20;141;?;?
5,0.8,57;51;13;?;?
5,0.8,41;215;141;13;?
5,0.8,152;185;50;?;?
5,0.8,20;28;13;?;?
4,0.75,152;13;69;?;?
4,0.75,51;50;19;?;?
45,0.73,152;145;51;?;?
7,0.71,141;21;13;?;?
13,0.69,34;28;50;?;?
3,0.67,3;13;182;?;?
3,0.67,57;36;73;?;?
3,0.67,41;149;57;?;?
3,0.67,17;13;141;?;?
18,0.67,28;34;20;?;?
11,0.64,1;51;20;?;?
142,0.64,162;36;149;?;?
14,0.64,1;20;13;?;?
67,0.63,73;51;17;?;?
105,0.61,145;51;13;?;?
5,0.6,152;141;69;?;?
14,0.57,152;185;36;?;?
40,0.57,51;182;215;?;?
9,0.56,152;11;36;?;?
163,0.55,57;51;41;?;?
11,0.55,73;51;41;?;?
41,0.54,41;11;141;?;?
13,0.54,41;162;20;?;?
15,0.53,41;3;36;215;?
19,0.53,73;51;36;?;?
52,0.52,1;20;41;?;?
194,0.51,50;19;36;?;?
2,0.5,11;36;13;?;?
2,0.5,50;3;28;?;?
6,0.5,56;73;149;?;?
4,0.5,152;34;51;13;?
4,0.5,73;34;41;?;?
4,0.5,34;11;21;?;?
12,0.5,3;34;19;?;?
2,0.5,56;36;13;?;?
12,0.5,34;141;182;?;?
4,0.5,57;36;215;?;?
2,0.5,249;34;141;?;?
14,0.5,34;28;13;?;?
2,0.5,17;34;13;?;?
8,0.5,11;149;21;?;?
4,0.5,73;162;5;?;?
32,0.47,41;36;21;?;?
36,0.47,152;145;73;?;?
37,0.46,17;11;13;?;?
7,0.43,152;73;56;?;?
7,0.43,249;3;13;?;?
26,0.42,56;11;182;?;?
81,0.41,3;28;13;?;?
5,0.4,41;162;50;?;?
109,0.4,1;50;13;?;?
5,0.4,28;2;20;?;?
5,0.4,2;28;13;?;?
10,0.4,17;2;11;?;?
36,0.39,56;41;36;?;?
13,0.38,1;141;41;?;?
14,0.36,73;34;21;?;?
9,0.33,56;73;36;?;?
24,0.33,152;17;11;?;?
6,0.33,41;36;13;?;?
6,0.33,152;36;182;?;?
3,0.33,73;11;51;?;?
13,0.31,41;162;3;?;?
20,0.3,152;145;41;?;?
25,0.28,152;19;3;?;?
16,0.25,152;57;36;?;?
8,0.25,145;50;41;?;?
5,0.2,1;20;149;?;?
20,0.15,41;182;215;?;?
7,0.14,41;51;182;?;?
7,0.14,73;215;149;41;?
8,0.13,36;149;182;?;?
1,0.0,36;21;13;?;?
1,0.0,41;13;20;149;215
1,0.0,145;34;215;?;?
1,0.0,50;13;182;?;?
1,0.0,41;3;1;?;?
2,0.0,41;50;51;36;?
1,0.0,41;11;21;?;?
1,0.0,152;11;21;?;?
1,0.0,11;141;182;?;?
1,0.0,56;5;182;?;?
2,0.0,145;50;36;?;?
1,0.0,152;41;34;149;?
1,0.0,41;51;17;?;?
1,0.0,41;34;11;?;?
1,0.0,1;50;41;?;?
2,0.0,13;182;215;?;?
2,0.0,249;34;50;?;?
1,0.0,73;50;21;149;?
1,0.0,73;19;51;?;?
1,0.0,17;149;41;?;?
2,0.0,36;149;69;?;?
2,0.0,17;13;41;?;?
4,0.0,41;20;21;?;?
1,0.0,152;11;13;141;?
10,0.0,41;11;215;?;?
1,0.0,51;19;215;?;?
3,0.0,1;2;34;?;?
1,0.0,17;50;3;36;?
1,0.0,41;20;182;?;?
1,0.0,56;3;182;?;?
1,0.0,41;51;21;?;?
1,0.0,41;215;149;21;?
1,0.0,141;34;5;13;?
3,0.0,1;149;41;?;?
1,0.0,149;73;5;21;?
4,0.0,152;73;34;3;?
