total,winfreq,items
2,1.0,4;60;81
1,1.0,180;12;20
5,0.8,88;26;231
26,0.69,17;94;23
3,0.67,20;28;23
32,0.59,20;27;28
22,0.55,26;21;79
6,0.5,81;59;21
14,0.43,79;20;23
1,0.0,26;4;22
1,0.0,17;27;23
1,0.0,4;26;60
1,0.0,81;79;23
