total,winfreq,items
2,1.0,17;55;28;63
1,1.0,28;19;20;17
5,1.0,27;61;63;?
1,1.0,17;28;61;22
1,1.0,92;60;36;?
1,1.0,25;28;57;?
1,1.0,34;19;28;?
1,1.0,25;20;55;?
1,1.0,17;34;92;?
1,1.0,28;108;61;63
1,1.0,25;59;23;?
1,1.0,17;36;21;13
2,1.0,28;19;20;13
1,1.0,27;28;13;?
60,0.62,25;59;22;?
10,0.6,59;27;61;?
5,0.6,36;19;28;?
5,0.6,98;108;63;?
63,0.56,17;21;15;?
32,0.56,73;19;25;?
67,0.55,24;57;108;?
17,0.53,20;21;55;?
16,0.5,17;98;22;?
6,0.5,25;58;60;?
4,0.5,28;55;108;25
2,0.5,20;27;28;?
12,0.5,57;28;21;?
50,0.48,108;4;63;?
17,0.47,25;23;15;?
17,0.47,34;19;63;?
33,0.42,73;21;22;?
15,0.4,17;12;63;?
5,0.4,25;20;61;?
28,0.36,8;60;21;?
20,0.35,27;13;63;?
16,0.31,27;20;22;?
10,0.3,9;108;63;?
26,0.27,92;20;21;?
8,0.25,24;17;108;63
4,0.25,17;59;21;?
4,0.25,20;61;23;?
5,0.2,34;92;21;?
9,0.11,19;28;13;21
1,0.0,25;28;29;12
1,0.0,27;21;61;?
2,0.0,24;25;57;?
1,0.0,17;4;22;?
3,0.0,8;25;21;?
1,0.0,27;60;13;?
2,0.0,59;28;21;?
1,0.0,59;21;61;?
1,0.0,73;23;25;?
1,0.0,24;57;60;?
2,0.0,17;10;108;25
1,0.0,17;178;60;?
1,0.0,34;19;21;?
1,0.0,25;36;13;22
1,0.0,59;28;23;?
5,0.0,17;63;15;?
1,0.0,25;22;15;?
2,0.0,19;28;13;63
1,0.0,17;98;60;23
1,0.0,24;57;23;?
1,0.0,25;27;13;?
