total,winfreq,items
1,1.0,17;36;6;?;?;?
1,1.0,8;2;34;?;?;?
4,1.0,112;17;21;?;?;?
3,1.0,20;27;4;?;?;?
4,1.0,34;2;182;?;?;?
2,1.0,27;116;63;?;?;?
2,1.0,36;21;182;55;?;?
1,1.0,56;25;34;?;?;?
1,1.0,9;116;182;55;?;?
1,1.0,112;20;182;?;?;?
1,1.0,8;25;112;1;?;?
1,1.0,8;25;55;182;9;?
2,1.0,9;116;4;25;?;?
1,1.0,17;27;116;?;?;?
2,1.0,9;116;20;?;?;?
4,1.0,34;63;116;55;?;?
1,1.0,17;28;63;?;?;?
1,1.0,17;34;11;?;?;?
1,1.0,17;11;116;?;?;?
1,1.0,8;55;36;63;?;?
1,1.0,8;1;6;182;17;?
4,1.0,116;20;55;?;?;?
1,1.0,9;27;4;?;?;?
24,0.88,112;8;34;?;?;?
62,0.81,27;4;63;?;?;?
75,0.77,112;8;21;?;?;?
32,0.75,168;1;182;?;?;?
4,0.75,36;21;6;?;?;?
75,0.73,116;36;55;?;?;?
416,0.73,9;27;36;?;?;?
283,0.73,36;4;116;?;?;?
196,0.73,112;20;63;?;?;?
7,0.71,112;25;34;?;?;?
976,0.71,116;182;214;?;?;?
34,0.71,168;1;63;?;?;?
90,0.71,4;27;12;?;?;?
627,0.7,168;25;182;?;?;?
10,0.7,9;34;116;?;?;?
16,0.69,9;27;21;?;?;?
103,0.68,20;12;116;?;?;?
707,0.67,56;17;34;?;?;?
39,0.67,9;27;182;?;?;?
54,0.67,56;1;61;?;?;?
32,0.66,8;182;23;?;?;?
40,0.65,12;4;21;?;?;?
606,0.65,28;20;182;?;?;?
28,0.64,56;1;182;63;?;?
22,0.64,34;28;182;?;?;?
54,0.63,8;12;23;?;?;?
8,0.63,17;27;21;?;?;?
5,0.6,112;21;182;?;?;?
5,0.6,116;34;4;?;?;?
15,0.6,25;34;11;?;?;?
5,0.6,20;116;4;?;?;?
5,0.6,20;21;23;?;?;?
5,0.6,8;2;21;?;?;?
926,0.59,1;21;151;?;?;?
442,0.59,25;11;116;?;?;?
125,0.59,20;102;214;182;?;?
12,0.58,112;8;63;?;?;?
368,0.58,56;25;61;?;?;?
224,0.58,25;28;182;?;?;?
12,0.58,17;116;9;55;?;?
56,0.57,34;28;63;?;?;?
109,0.57,20;12;4;?;?;?
18,0.56,1;11;20;?;?;?
55,0.55,9;36;21;?;?;?
33,0.55,34;27;28;?;?;?
22,0.55,17;2;34;?;?;?
29,0.55,25;28;1;?;?;?
22,0.55,182;6;21;?;?;?
25,0.52,28;27;12;?;?;?
25,0.52,34;21;102;?;?;?
180,0.51,17;2;20;?;?;?
6,0.5,25;34;28;?;?;?
4,0.5,17;4;20;9;?;?
2,0.5,8;21;6;63;?;?
4,0.5,1;28;20;?;?;?
4,0.5,9;27;20;?;?;?
2,0.5,8;27;63;?;?;?
12,0.5,9;27;17;?;?;?
4,0.5,8;4;12;?;?;?
2,0.5,63;4;21;55;?;?
2,0.5,34;116;214;?;?;?
2,0.5,4;27;116;?;?;?
8,0.5,56;1;34;182;?;?
205,0.48,36;21;102;?;?;?
46,0.46,20;182;6;?;?;?
13,0.46,25;27;28;?;?;?
109,0.44,17;34;27;?;?;?
7,0.43,1;36;6;?;?;?
5,0.4,4;63;36;55;?;?
10,0.4,25;27;20;?;?;?
23,0.39,8;182;151;?;?;?
22,0.36,151;21;63;?;?;?
94,0.35,25;11;20;?;?;?
3,0.33,1;36;9;17;182;63
3,0.33,17;28;182;?;?;?
3,0.33,17;27;20;?;?;?
3,0.33,1;20;182;214;23;?
3,0.33,8;36;182;55;?;?
16,0.31,25;27;21;?;?;?
7,0.29,17;116;182;9;?;?
31,0.29,102;21;214;?;?;?
32,0.28,8;20;214;?;?;?
8,0.13,11;20;21;?;?;?
18,0.11,11;21;182;63;?;?
12,0.08,34;21;214;182;?;?
1,0.0,21;214;23;?;?;?
1,0.0,2;21;63;?;?;?
1,0.0,11;116;182;?;?;?
1,0.0,8;34;55;63;?;?
1,0.0,8;34;11;?;?;?
1,0.0,12;4;182;?;?;?
1,0.0,34;11;182;?;?;?
2,0.0,8;34;21;214;?;?
1,0.0,1;2;20;?;?;?
1,0.0,8;182;214;21;?;?
3,0.0,8;36;4;17;?;?
1,0.0,25;34;4;182;55;?
4,0.0,9;55;36;25;?;?
1,0.0,168;17;182;?;?;?
2,0.0,116;4;182;55;?;?
5,0.0,25;34;4;21;?;?
1,0.0,36;12;21;182;?;?
1,0.0,8;21;151;?;?;?
