total,winfreq,items
3,1.0,60;4;61;23;?;?
1,1.0,20;61;23;?;?;?
2,1.0,114;27;4;125;?;?
2,1.0,48;1;214;127;?;?
1,1.0,27;1;3;60;61;?
2,1.0,127;60;21;61;?;?
1,1.0,4;114;12;125;1;?
1,1.0,56;27;22;?;?;?
17,0.82,1;114;125;214;?;?
5,0.8,56;20;23;?;?;?
9,0.78,56;19;60;?;?;?
4,0.75,1;131;4;214;?;?
4,0.75,1;182;214;23;56;127
114,0.74,48;19;214;182;?;?
407,0.69,12;108;61;?;?;?
13,0.69,56;22;214;?;?;?
3,0.67,1;94;31;?;?;?
287,0.67,114;3;125;?;?;?
3,0.67,242;3;20;?;?;?
79,0.65,56;34;23;?;?;?
5,0.6,34;21;61;?;?;?
338,0.6,131;4;94;?;?;?
36,0.56,1;4;94;?;?;?
25,0.56,56;34;21;?;?;?
47,0.53,23;20;127;?;?;?
36,0.53,12;94;31;?;?;?
51,0.51,34;21;23;?;?;?
2,0.5,56;127;21;23;?;?
2,0.5,19;21;61;23;?;?
6,0.5,1;12;125;4;23;?
2,0.5,125;21;23;?;?;?
22,0.5,56;61;22;?;?;?
2,0.5,1;34;19;12;86;?
220,0.46,242;3;36;?;?;?
290,0.45,19;20;21;?;?;?
11,0.45,127;60;61;214;182;?
5,0.4,34;3;23;?;?;?
48,0.38,3;125;23;?;?;?
59,0.37,60;125;214;?;?;?
3,0.33,61;22;127;?;?;?
55,0.31,56;19;214;31;?;?
7,0.29,3;36;86;?;?;?
11,0.27,20;214;23;?;?;?
13,0.23,1;3;214;31;?;?
14,0.21,34;242;214;127;?;?
5,0.2,56;1;31;127;?;?
1,0.0,34;19;242;214;?;?
1,0.0,34;20;23;?;?;?
1,0.0,1;27;61;22;?;?
1,0.0,19;125;23;?;?;?
3,0.0,4;12;94;?;?;?
1,0.0,1;214;94;182;?;?
1,0.0,27;60;125;?;?;?
2,0.0,19;20;86;?;?;?
