total,winfreq,items
2,1.0,41;108;13;?
1,1.0,27;59;60;?
2,1.0,41;26;60;?
1,1.0,73;21;9;?
1,1.0,9;20;22;?
1,1.0,59;21;22;?
2,1.0,73;182;23;?
1,1.0,88;60;20;?
1,1.0,17;36;13;?
1,1.0,17;34;22;?
1,1.0,9;34;21;?
11,1.0,9;34;60;?
1,1.0,108;36;1;41
1,1.0,1;50;11;?
1,1.0,17;22;182;?
1,1.0,81;34;22;?
1,1.0,9;2;12;?
2,1.0,2;28;13;?
2,1.0,2;4;21;?
1,1.0,9;27;21;?
1,1.0,17;26;9;?
1,1.0,34;13;22;?
1,1.0,9;26;182;1
1,1.0,25;22;17;?
1,1.0,17;94;23;?
1,1.0,17;26;21;?
1,1.0,41;4;17;?
1,1.0,9;36;13;?
1,1.0,9;20;60;?
1,1.0,20;27;180;?
11,0.91,26;182;55;?
9,0.89,50;27;23;?
6,0.83,41;34;55;?
7,0.71,17;21;81;?
66,0.67,73;108;1;?
3,0.67,9;27;13;?
6,0.67,41;27;60;?
3,0.67,112;36;182;?
3,0.67,50;20;55;?
3,0.67,9;2;13;?
52,0.63,2;4;55;?
39,0.62,88;1;25;?
31,0.61,73;26;22;?
36,0.61,41;34;94;?
5,0.6,9;21;41;?
32,0.59,36;12;13;?
21,0.57,1;59;22;?
40,0.57,50;36;23;?
9,0.56,17;4;182;?
40,0.55,21;182;63;?
11,0.55,28;27;180;?
42,0.52,41;28;108;?
4,0.5,41;50;55;?
2,0.5,41;50;182;22
8,0.5,17;108;41;?
2,0.5,9;36;182;55
2,0.5,73;34;21;?
2,0.5,25;27;12;?
4,0.5,41;4;12;?
2,0.5,11;20;182;?
2,0.5,41;50;27;?
4,0.5,60;27;36;?
2,0.5,9;26;34;?
4,0.5,41;34;2;182
8,0.5,2;11;182;?
45,0.49,59;36;21;?
16,0.44,2;19;21;?
7,0.43,20;22;94;?
19,0.42,180;28;36;?
3,0.33,41;34;25;?
3,0.33,41;23;73;?
4,0.25,41;50;185;?
12,0.25,185;36;182;?
6,0.17,2;27;13;?
6,0.17,25;34;182;?
7,0.14,81;34;50;?
1,0.0,2;108;34;?
2,0.0,41;60;182;36
1,0.0,185;50;34;?
1,0.0,9;13;22;?
1,0.0,2;12;55;?
1,0.0,36;21;55;?
1,0.0,1;11;21;?
1,0.0,59;28;182;?
1,0.0,25;28;36;?
1,0.0,9;58;182;?
1,0.0,25;26;22;?
3,0.0,41;34;19;?
2,0.0,41;50;21;182
1,0.0,59;182;23;?
1,0.0,41;2;108;1
1,0.0,59;21;23;?
1,0.0,17;12;182;?
1,0.0,41;34;2;21
2,0.0,60;59;28;?
1,0.0,2;12;23;?
1,0.0,73;34;41;?
1,0.0,34;59;60;?
1,0.0,27;59;182;?
1,0.0,50;11;21;?
1,0.0,17;20;23;?
1,0.0,20;28;23;?
3,0.0,41;27;23;?
2,0.0,9;50;4;?
1,0.0,1;59;36;182
1,0.0,34;19;21;?
1,0.0,9;2;28;?
1,0.0,88;50;13;?
3,0.0,21;182;55;?
1,0.0,17;13;41;?
2,0.0,2;11;20;?
1,0.0,36;2;60;?
1,0.0,41;50;20;21
1,0.0,41;182;63;?
