freq,items
0.5,50;8;116;?;?;?
0.55,2;2;22;170;?;?
0.65,29;2;6;?;?;?
0.46,14;75;6;?;?;?
0.41,29;2;50;21;8;?
0.42,22;17;154;?;?;?
0.62,29;2;50;2;?;?
0.41,75;164;21;?;?;?
0.54,20;75;212;?;?;?
0.45,2;2;22;18;?;?
0.48,14;26;6;?;?;?
0.52,20;75;21;?;?;?
0.44,29;2;50;22;154;?
0.5,20;26;21;?;?;?
0.48,26;21;154;?;?;?
0.41,28;164;21;?;?;?
0.51,20;2;50;?;?;?
0.52,2;2;18;170;?;?
0.48,14;6;21;?;?;?
0.44,12;2;21;?;?;?
0.41,29;2;2;21;8;?
0.47,2;50;21;154;?;?
0.47,26;6;8;?;?;?
0.44,29;22;21;154;?;?
0.44,29;2;2;18;154;?
0.48,29;26;17;?;?;?
0.45,29;50;22;170;154;?
0.5,2;50;8;116;?;?
0.43,26;18;162;?;?;?
0.41,29;18;170;162;?;?
0.51,29;170;154;?;?;?
0.41,18;170;162;?;?;?
0.47,164;21;116;?;?;?
0.54,29;50;170;?;?;?
0.65,29;50;6;?;?;?
0.52,29;2;50;8;?;?
0.44,2;2;21;17;?;?
0.47,29;2;2;26;164;?
0.55,2;2;8;?;?;?
0.43,18;21;162;?;?;?
0.42,26;164;22;170;?;?
0.43,2;17;162;154;?;?
0.41,29;164;18;170;?;?
0.47,2;162;154;?;?;?
0.44,29;6;170;?;?;?
0.66,29;6;21;?;?;?
0.4,18;170;162;154;?;?
0.43,20;22;170;?;?;?
0.49,29;2;21;116;?;?
0.51,29;2;2;6;21;?
0.52,14;2;50;?;?;?
0.41,26;18;17;154;?;?
0.51,2;2;26;21;?;?
0.53,29;2;2;22;?;?
0.41,2;22;18;170;?;?
0.86,29;2;2;?;?;?
0.44,29;2;2;170;154;?
0.49,29;2;116;?;?;?
0.56,2;2;22;?;?;?
0.48,2;17;162;?;?;?
0.47,50;21;154;?;?;?
0.42,20;14;2;?;?;?
0.46,17;162;154;?;?;?
0.48,29;2;50;26;21;?
0.42,12;29;2;?;?;?
0.47,29;2;17;162;?;?
0.45,164;21;162;?;?;?
0.44,12;6;21;?;?;?
