freq,items
0.42,178;1;8;?;?
0.65,28;29;21;?;?
0.55,28;27;178;29;?
0.64,28;1;21;?;?
0.59,178;1;21;?;?
0.42,28;27;94;?;?
0.45,28;21;116;?;?
0.44,28;27;178;1;21
0.47,28;27;29;21;?
0.41,28;178;1;8;?
0.42,28;1;21;116;?
0.41,27;29;116;?;?
0.54,28;178;29;21;?
0.47,28;29;8;?;?
0.4,27;29;8;116;?
0.4,178;29;8;?;?
0.47,29;21;116;?;?
0.6,28;27;21;?;?
0.42,28;1;116;?;?
0.44,28;178;29;1;?
0.4,28;27;21;116;?
0.61,27;178;21;?;?
0.41,28;27;178;29;21
0.55,27;178;27;?;?
0.42,178;8;116;?;?
0.42,27;94;79;?;?
0.58,28;178;1;21;?
0.41,27;4;79;?;?
0.78,28;178;1;?;?
0.64,28;27;29;?;?
0.44,27;178;8;?;?
0.41,28;178;8;116;?
0.46,27;178;29;27;?
0.74,28;178;29;?;?
0.69,28;27;1;?;?
0.4,28;27;178;27;?
0.48,178;29;27;?;?
0.41,27;178;8;116;?
0.41,28;27;116;?;?
0.42,28;1;8;116;?
0.44,27;21;116;?;?
0.61,27;1;21;?;?
0.41,27;178;21;116;?
0.46,28;178;29;27;?
0.41,29;21;8;?;?
0.4,27;1;8;116;?
0.47,28;27;27;?;?
0.55,28;29;1;?;?
0.44,27;178;29;1;?
0.43,28;29;8;116;?
0.41,28;27;8;116;?
0.58,28;27;178;1;?
0.47,29;8;116;?;?
0.45,28;178;8;?;?
0.43,28;29;116;?;?
0.41,27;1;116;?;?
0.57,28;178;27;?;?
0.42,28;178;116;?;?
0.46,178;29;1;?;?
0.51,27;29;1;?;?
0.51,28;27;1;21;?
0.44,28;27;8;?;?
0.44,27;1;8;?;?
0.57,27;178;1;21;?
0.61,28;27;178;?;?
0.41,27;86;79;?;?
0.47,28;27;178;21;?
0.42,178;21;116;?;?
0.44,29;1;21;?;?
0.46,28;1;8;?;?
0.41,28;178;21;116;?
0.4,29;27;21;?;?
0.45,28;8;116;?;?
0.56,28;29;27;?;?
0.74,27;178;29;?;?
0.45,1;21;116;?;?
0.6,27;29;21;?;?
0.45,27;8;116;?;?
0.41,27;178;1;8;?
0.51,27;29;27;?;?
0.42,27;178;116;?;?
0.43,27;29;8;?;?
0.78,27;178;1;?;?
0.43,28;29;21;116;?
0.45,1;8;116;?;?
0.62,28;178;21;?;?
0.56,178;29;21;?;?
0.54,27;178;29;21;?
