freq,items
0.42,29;28;187;229
0.43,29;28;229;?
0.49,29;27;4;?
0.49,29;4;21;?
0.41,29;28;187;60
0.45,29;4;187;21
0.5,29;23;108;?
0.41,28;60;22;?
0.48,29;23;22;?
0.42,28;60;108;?
0.42,4;187;22;?
0.42,28;23;22;?
0.4,29;187;21;22
0.46,28;187;229;?
0.42,28;60;23;?
0.41,29;20;36;?
0.41,29;4;60;108
0.42,28;187;22;?
0.42,4;60;108;?
0.43,4;28;187;?
0.4,187;21;108;?
0.4,29;4;23;22
0.42,60;23;22;?
0.41,29;28;187;32
0.44,29;4;187;32
0.42,29;28;22;?
0.4,29;4;60;22
0.41,29;60;22;108
0.72,29;4;187;?
0.48,28;187;23;?
0.46,4;187;32;?
0.43,29;60;21;108
0.4,4;60;21;?
0.44,29;28;187;23
0.46,28;187;32;?
0.42,29;28;187;21
0.44,28;21;108;?
0.45,29;187;32;?
0.48,29;28;23;?
0.43,29;4;21;108
0.44,4;21;22;?
0.45,4;187;60;?
0.41,29;4;60;23
0.44,29;4;187;60
0.45,29;60;23;108
0.45,29;4;187;229
0.45,29;187;229;?
0.46,28;187;21;?
0.44,29;21;22;108
0.4,4;187;21;22
0.45,29;4;22;?
0.41,187;21;22;?
0.43,60;21;22;?
0.44,21;22;108;?
0.43,60;21;108;?
0.48,4;187;23;?
0.52,29;4;23;?
0.41,29;4;187;22
0.43,29;4;21;22
0.42,29;4;28;187
0.43,29;4;108;?
0.47,29;187;23;?
0.42,29;60;23;22
0.4,12;27;4;?
0.47,29;4;187;23
0.45,29;187;21;?
0.42,29;4;23;108
0.41,28;60;21;?
0.45,60;23;108;?
0.41,28;187;21;22
0.45,29;4;229;?
0.48,29;4;60;?
0.41,29;23;22;108
0.48,29;60;23;?
0.68,29;28;187;?
0.51,29;21;108;?
0.46,4;187;21;?
0.45,29;28;60;?
0.45,29;28;21;?
0.45,29;22;108;?
0.48,12;28;187;?
0.43,4;23;108;?
0.46,29;4;28;?
0.42,29;28;32;?
0.41,60;22;108;?
0.45,28;187;60;?
0.5,12;4;187;?
0.41,23;22;108;?
0.47,29;60;22;?
0.41,4;23;22;?
0.46,4;187;229;?
0.41,4;60;22;?
0.42,4;60;23;?
0.52,29;21;22;?
0.47,29;60;21;?
0.44,28;23;108;?
0.42,29;28;4;?
0.49,29;60;108;?
0.45,28;21;22;?
0.45,29;187;60;?
0.43,29;60;21;22
0.45,29;4;32;?
0.44,4;21;108;?
0.42,29;187;22;?
