total,winfreq,items
2,1.0,170;11;116;182;127;63
1,1.0,154;63;20;71;?;?
1,1.0,154;51;7;?;?;?
2,1.0,18;11;116;7;?;?
1,1.0,154;63;143;?;?;?
1,1.0,25;3;143;?;?;?
1,1.0,34;116;14;?;?;?
1,1.0,75;11;71;?;?;?
1,1.0,25;154;51;?;?;?
1,1.0,88;17;20;?;?;?
1,1.0,11;182;55;?;?;?
2,1.0,8;63;55;?;?;?
1,1.0,88;25;14;?;?;?
1,1.0,63;21;55;?;?;?
1,1.0,11;36;127;?;?;?
1,1.0,71;36;63;?;?;?
2,1.0,162;182;166;?;?;?
2,1.0,11;54;22;?;?;?
1,1.0,11;28;14;182;?;?
8,0.88,48;25;182;?;?;?
5,0.8,48;11;182;?;?;?
13,0.77,34;3;116;?;?;?
4,0.75,21;54;63;?;?;?
90,0.72,48;21;182;?;?;?
85,0.68,170;54;14;?;?;?
3,0.67,152;154;63;?;?;?
3,0.67,154;19;5;?;?;?
25,0.64,51;170;11;?;?;?
55,0.64,25;11;135;?;?;?
49,0.63,11;21;55;?;?;?
278,0.6,154;51;182;?;?;?
15,0.6,18;54;63;?;?;?
5,0.6,11;12;14;?;?;?
171,0.57,8;162;36;?;?;?
114,0.57,18;166;63;?;?;?
20,0.55,3;11;143;?;?;?
13,0.54,63;154;11;116;71;?
187,0.51,152;71;127;?;?;?
43,0.51,32;17;182;?;?;?
106,0.51,154;11;143;?;?;?
6,0.5,36;4;71;?;?;?
42,0.5,17;18;28;?;?;?
2,0.5,25;71;11;215;?;?
2,0.5,18;36;71;?;?;?
2,0.5,63;4;143;?;?;?
2,0.5,25;12;21;?;?;?
2,0.5,34;127;71;?;?;?
6,0.5,11;54;63;?;?;?
2,0.5,20;154;116;?;?;?
6,0.5,63;182;55;?;?;?
2,0.5,8;51;7;?;?;?
2,0.5,154;11;34;?;?;?
2,0.5,8;63;143;?;?;?
2,0.5,2;162;182;?;?;?
2,0.5,11;182;135;?;?;?
169,0.49,25;11;12;?;?;?
83,0.49,152;18;71;?;?;?
87,0.48,25;170;75;?;?;?
40,0.47,3;21;143;?;?;?
24,0.46,3;5;14;?;?;?
83,0.43,17;34;116;?;?;?
7,0.43,2;11;22;?;?;?
28,0.43,170;19;116;71;?;?
28,0.43,17;54;14;?;?;?
7,0.43,7;19;71;?;?;?
14,0.43,154;215;127;?;?;?
12,0.42,34;11;71;?;?;?
39,0.41,116;5;215;?;?;?
5,0.4,8;18;51;?;?;?
15,0.4,162;3;215;?;?;?
5,0.4,11;54;14;?;?;?
5,0.4,135;182;63;?;?;?
5,0.4,63;14;143;?;?;?
5,0.4,154;71;143;?;?;?
70,0.39,17;2;22;?;?;?
8,0.38,17;50;11;?;?;?
29,0.38,8;14;215;?;?;?
11,0.36,25;11;55;?;?;?
26,0.35,11;25;154;19;116;?
3,0.33,28;21;63;?;?;?
3,0.33,3;116;7;?;?;?
3,0.33,162;14;166;?;?;?
7,0.29,88;20;63;?;?;?
7,0.29,50;11;21;?;?;?
52,0.27,4;18;36;?;?;?
4,0.25,11;166;63;?;?;?
4,0.25,88;20;14;?;?;?
14,0.21,162;4;34;?;?;?
10,0.2,215;4;71;?;?;?
5,0.2,25;154;36;?;?;?
5,0.2,75;21;71;?;?;?
5,0.2,152;127;182;63;?;?
6,0.17,152;154;11;?;?;?
6,0.17,8;34;4;?;?;?
7,0.14,127;71;11;116;63;?
8,0.13,8;17;75;?;?;?
2,0.0,152;18;14;?;?;?
2,0.0,17;166;14;?;?;?
1,0.0,8;11;18;3;71;?
1,0.0,127;116;22;71;?;?
1,0.0,11;14;166;?;?;?
1,0.0,34;4;170;?;?;?
1,0.0,162;3;116;71;?;?
1,0.0,8;11;19;22;14;?
1,0.0,11;25;19;215;?;?
1,0.0,8;152;22;?;?;?
1,0.0,8;25;75;?;?;?
1,0.0,25;5;182;127;?;?
4,0.0,143;22;71;?;?;?
1,0.0,215;22;71;?;?;?
1,0.0,166;14;182;?;?;?
2,0.0,11;18;19;116;182;63
1,0.0,34;11;4;182;?;?
1,0.0,170;182;166;?;?;?
1,0.0,162;11;116;22;127;63
2,0.0,18;2;182;?;?;?
1,0.0,25;162;11;143;?;?
1,0.0,162;36;14;?;?;?
3,0.0,170;215;127;?;?;?
1,0.0,19;11;20;71;?;?
1,0.0,25;4;143;?;?;?
1,0.0,170;162;166;?;?;?
1,0.0,152;8;162;?;?;?
2,0.0,17;116;215;?;?;?
4,0.0,8;152;4;?;?;?
2,0.0,71;116;7;?;?;?
1,0.0,18;75;63;?;?;?
1,0.0,19;36;63;?;?;?
1,0.0,154;11;215;?;?;?
5,0.0,20;3;116;?;?;?
1,0.0,25;170;11;5;?;?
2,0.0,152;18;11;63;?;?
1,0.0,8;11;215;63;?;?
1,0.0,17;2;11;?;?;?
5,0.0,8;154;127;71;?;?
3,0.0,8;11;36;?;?;?
4,0.0,28;20;182;?;?;?
4,0.0,8;51;63;?;?;?
3,0.0,152;162;71;?;?;?
1,0.0,11;51;14;?;?;?
