total,winfreq,items
5,1.0,59;28;22;?
1,1.0,27;34;59;?
1,1.0,25;36;57;?
2,1.0,60;27;180;?
4,1.0,27;180;22;?
1,1.0,57;27;20;?
1,1.0,57;36;22;?
1,1.0,27;36;13;?
1,1.0,180;28;22;?
2,1.0,65;27;20;?
1,1.0,25;60;28;57
1,1.0,59;27;22;?
9,0.89,57;27;108;28
80,0.75,25;27;57;?
15,0.73,180;20;108;?
7,0.71,57;28;65;?
3,0.67,34;92;21;?
264,0.67,108;27;180;?
3,0.67,12;27;28;23
124,0.65,180;28;60;?
22,0.64,92;34;108;?
345,0.63,57;34;108;?
379,0.62,36;21;13;?
37,0.62,57;28;21;25
18,0.61,20;27;28;?
30,0.6,28;27;180;?
241,0.6,108;180;36;?
12,0.58,59;27;108;?
442,0.58,28;60;12;?
7,0.57,57;20;65;?
35,0.57,20;60;13;?
148,0.56,34;27;28;?
195,0.56,108;28;65;?
87,0.53,25;34;27;?
190,0.5,25;12;23;?
2,0.5,25;20;57;?
4,0.5,25;34;28;?
2,0.5,180;36;22;?
2,0.5,34;60;13;?
4,0.5,34;27;180;?
2,0.5,180;28;21;?
15,0.47,25;27;28;?
32,0.47,20;27;180;?
33,0.45,20;34;92;?
9,0.44,59;36;22;?
23,0.43,27;60;13;?
3,0.33,27;180;21;?
3,0.33,65;27;28;?
3,0.33,57;28;20;?
3,0.33,25;12;60;?
10,0.3,34;59;28;?
4,0.25,25;27;12;?
1,0.0,57;36;28;?
1,0.0,28;23;60;65
1,0.0,180;20;28;?
5,0.0,27;28;13;?
1,0.0,92;20;21;?
2,0.0,25;27;20;?
2,0.0,180;36;21;?
3,0.0,65;20;28;?
1,0.0,60;180;36;23
2,0.0,27;13;23;?
1,0.0,34;13;23;?
1,0.0,57;36;21;?
